虏嘿,~る,}L基(じ),程蔼基(じ),程C基(じ),ΜL基(じ),厨SvH_る,セqゑ-TSE,{鳘学Qv
jΘ         ,202005,41.05,44.95,40.6,43,3.7396,14.24,5.12
jΘ         ,202006,43.3,44.45,41.2,42.65,-0.814,14.12,5.16
jΘ         ,202007,42.7,47.95,42.7,46.1,8.0891,15.26,4.77
jΘ         ,202008,46.1,49.7,44.2,45.25,2.8052,13.97,4.86
jΘ         ,202009,45.45,45.85,41.5,42.25,-6.6299,13.04,5.21
jΘ         ,202010,42.25,45.8,42.25,44.95,6.3905,13.87,4.89
jΘ         ,202011,45,47.55,44.55,46.35,3.1145,13.09,4.75
jΘ         ,202012,46.55,52.2,45.55,50.8,9.6008,14.35,4.33
jΘ         ,202101,51.3,52.5,47.5,48.25,-5.0198,13.63,4.56
jΘ         ,202102,48.25,50.7,47.75,50,3.6269,14.12,4.4
jΘ         ,202103,50.3,55.5,49.7,54.6,9.1997,13.68,4.95
jΘ         ,202104,55.4,62.9,53.9,59.9,9.7069,15.01,4.51
jΘ         ,202105,59.9,60.9,53.3,57.7,-3.6728,13.48,4.68
jΘ         ,202106,58,61.3,56.9,60.1,4.1595,14.04,4.49
jΘ         ,202107,60.1,60.9,58.7,60.1,0.0001,14.04,4.49
jΘ         ,202108,60.3,61.8,51.8,54.1,-2.7652,14.5,4.85
jΘ         ,202109,54.1,57,53.8,54.9,1.4788,14.72,4.77
jΘ         ,202110,54.5,54.6,52.5,53.7,-2.1858,14.4,4.88
jΘ         ,202111,53.7,53.9,51.8,52,-3.1656,18.12,5.04
jΘ         ,202112,52,53.6,51.8,53.4,2.6924,18.61,4.91
jΘ         ,202201,53.3,53.5,52,52.2,-2.2473,18.19,5.02
jΘ         ,202202,52.2,55.9,52.2,54.2,3.8314,18.89,4.84
jΘ         ,202203,54.5,55.3,52.1,54.1,-0.1844,23.32,2.77
jΘ         ,202204,54,57.8,52.5,52.8,0.2441,22.76,2.84
jΘ         ,202205,53,53.1,46.55,49.4,-6.4394,24.33,3.04
jΘ         ,202206,49.3,49.3,46.6,47.55,-3.7451,23.42,3.15
jΘ         ,202207,47.5,49.5,46.6,48.9,2.8391,24.09,3.07
jΘ         ,202208,48.8,50.8,46.7,49.25,5.7514,23.79,2.9
jΘ         ,202209,48.95,49.05,44.3,44.5,-9.6448,21.5,3.21
jΘ         ,202210,44,45.1,39.65,40.2,-9.663,19.42,3.55
jΘ         ,202211,40.4,44.65,40.2,44.55,10.821,19.04,3.21
jΘ         ,202212,44.95,47.25,44.1,45.55,2.2449,19.47,3.14
jΘ         ,202301,45.55,46.8,45,46.3,1.6465,19.79,3.09
jΘ         ,202302,46.4,50.7,45.7,50.6,9.2873,21.62,2.82
jΘ         ,202303,51.5,55.5,49.5,51.1,0.9881,19.73,2.8
jΘ         ,202304,51.5,53.7,50.6,51.3,0.3915,19.81,2.78
jΘ         ,202305,51.5,55.2,51,52.5,2.3392,18.49,2.86
jΘ         ,202306,52.5,53.7,51.1,53.3,1.5241,18.77,2.81
jΘ         ,202307,53.6,61.5,51.4,59.8,15.4318,21.06,2.51
jΘ         ,202308,60,64,52,54.6,-8.6956,15.6,2.75
jΘ         ,202309,54.5,56.6,53.7,53.8,-1.4653,15.37,2.79
jΘ         ,202310,53.8,54.3,50.8,50.8,-5.5761,14.51,2.95
jΘ         ,202311,51.2,56.5,51.1,56.3,10.8268,12.8,2.66
jΘ         ,202312,56.4,59.3,55.6,58.5,3.9074,13.3,2.56
jΘ         ,202401,58.7,59,56.1,57.7,-1.3676,13.11,2.6
jΘ         ,202402,57.8,59.4,56.9,58.4,1.2131,13.27,2.57
jΘ         ,202403,58.6,61.8,56,57.7,-1.1985,12,3.81
jΘ         ,202404,57.8,58.4,54.7,57.2,-0.8666,11.89,3.85
jΘ         ,202405,57.2,59,56,57.3,0.1751,11.65,3.88
jΘ         ,202406,57.2,57.5,56.5,57.2,-0.1746,11.63,3.89
jΘ         ,202407,57.2,58.6,56.7,57.5,0.5246,11.69,3.87
jΘ         ,202408,55.2,55.3,50.6,53.6,-3.0296,11.73,4.15
jΘ         ,202409,53.5,53.5,50.6,51.5,-3.9178,11.27,4.32
jΘ         ,202410,52,53,50.5,51.2,-0.5826,11.2,4.34
jΘ         ,202411,51.2,53.5,50.8,53.3,4.1017,13.16,4.17
jΘ         ,202412,53.3,54,50.4,51.5,-3.3773,12.72,4.32
jΘ         ,202501,51.1,52.2,50.1,51.6,0.1941,12.74,4.31
jΘ         ,202502,51.6,56.7,51.6,55.6,7.7519,13.73,4
jΘ         ,202503,55.5,58.5,55.1,57.7,3.7769,13.84,4.85
jΘ         ,202504,57.7,61,52.4,59.8,3.6398,14.34,4.68
jΘ         ,202505,59.8,66,59.4,65.7,9.866,15.42,4.26
