"日期","收市","開市","高","低","成交量","升跌（%）"
"2025-4-1","32.048","33.266","33.318","31.904","","-3.66%"
"2025-3-1","33.267","32.948","33.293","32.733","","1.05%"
"2025-2-1","32.920","33.013","33.265","32.596","","-0.18%"
"2025-1-1","32.980","32.804","33.176","32.523","","0.59%"
"2024-12-1","32.785","32.468","32.962","32.294","","1.06%"
"2024-11-1","32.441","31.928","32.691","31.712","","1.65%"
"2024-10-1","31.913","31.764","32.390","31.707","","0.52%"
"2024-9-1","31.749","32.010","32.217","31.452","","-0.77%"
"2024-8-1","31.996","32.699","32.874","31.729","","-2.05%"
"2024-7-1","32.665","32.500","32.931","32.355","","0.50%"
"2024-6-1","32.504","32.395","32.657","32.136","","0.12%"
"2024-5-1","32.465","32.617","32.660","31.986","","-0.42%"
"2024-4-1","32.602","32.005","32.708","31.905","","2.07%"
"2024-3-1","31.942","31.661","32.123","31.302","","0.99%"
"2024-2-1","31.629","31.261","31.761","31.163","","1.31%"
"2024-1-1","31.220","30.672","31.701","30.638","","1.75%"
"2023-12-1","30.682","31.359","31.618","30.481","","-2.17%"
"2023-11-1","31.361","32.473","32.526","31.095","","-3.41%"
"2023-10-1","32.468","32.277","32.543","32.009","","0.74%"
"2023-9-1","32.230","31.859","32.315","31.791","","1.21%"
"2023-8-1","31.844","31.440","32.066","31.400","","1.31%"
"2023-7-1","31.433","31.136","31.498","30.783","","0.98%"
"2023-6-1","31.129","30.700","31.214","30.576","","1.42%"
"2023-5-1","30.693","30.761","30.889","30.520","","-0.15%"
"2023-4-1","30.738","30.540","30.829","30.347","","0.66%"
"2023-3-1","30.535","30.722","30.935","30.146","","-0.59%"
"2023-2-1","30.715","30.046","30.816","29.608","","2.40%"
"2023-1-1","29.994","30.637","30.809","29.989","","-1.91%"
"2022-12-1","30.577","30.811","30.891","30.407","","-0.74%"
"2022-11-1","30.804","32.258","32.381","30.728","","-4.45%"
"2022-10-1","32.240","31.818","32.421","31.428","","1.37%"
"2022-9-1","31.803","30.399","31.951","30.338","","4.65%"
"2022-8-1","30.389","30.089","30.528","29.846","","1.30%"
"2022-7-1","29.998","29.702","30.132","29.663","","0.96%"
"2022-6-1","29.712","29.032","29.861","28.916","","2.36%"
"2022-5-1","29.026","29.442","29.932","28.896","","-1.40%"
"2022-4-1","29.438","28.647","29.606","28.594","","2.83%"
"2022-3-1","28.629","28.030","28.872","27.961","","2.26%"
"2022-2-1","27.996","27.786","28.240","27.701","","0.82%"
"2022-1-1","27.769","27.717","27.983","27.412","","0.21%"
"2021-12-1","27.712","27.641","27.920","27.523","","0.30%"
"2021-11-1","27.628","27.831","27.976","27.624","","-0.70%"
"2021-10-1","27.822","27.840","28.202","27.722","","0.04%"
"2021-9-1","27.810","27.662","27.898","27.537","","0.58%"
"2021-8-1","27.651","27.937","28.122","27.605","","-1.00%"
"2021-7-1","27.930","27.916","28.323","27.823","","0.06%"
"2021-6-1","27.913","27.562","28.160","27.372","","1.41%"
"2021-5-1","27.524","27.861","28.206","27.507","","-1.16%"
"2021-4-1","27.846","28.460","28.603","27.771","","-2.10%"
"2021-3-1","28.444","27.877","28.688","27.719","","2.08%"
"2021-2-1","27.865","28.016","28.097","27.764","","-0.49%"
"2021-1-1","28.001","28.114","28.164","27.863","","-0.26%"
"2020-12-1","28.075","28.601","28.618","28.022","","-1.75%"
"2020-11-1","28.576","28.599","28.707","28.400","","-0.03%"
"2020-10-1","28.584","28.946","28.979","28.372","","-1.17%"
"2020-9-1","28.923","29.377","29.410","28.782","","-1.51%"
"2020-8-1","29.365","29.325","29.492","29.260","","0.10%"
"2020-7-1","29.337","29.439","29.571","29.199","","-0.26%"
"2020-6-1","29.412","29.959","30.014","29.368","","-1.78%"
"2020-5-1","29.944","29.792","30.134","29.716","","0.56%"
"2020-4-1","29.776","30.286","30.376","29.674","","-1.63%"